Designator,Mid X,Mid Y,Rotation,Layer
C1,216.105372,-171.788184,0.0,top
C10,175.891609,-193.356109,0.0,top
C11,220.984842,-120.469294,180.0,top
C12,204.631962,-223.07974,90.0,top
C13,140.824506,-223.209779,90.0,top
C14,235.107303,-218.112726,270.0,top
C15,166.198968,-198.178732,90.0,top
C2,235.698459,-190.773662,90.0,top
C3,213.601881,-211.393462,0.0,top
C4,196.488441,-188.9427,270.0,top
C5,241.608173,-195.603531,90.0,top
C6,237.459143,-205.101968,180.0,top
C7,144.878173,-206.053531,90.0,top
C8,154.873173,-186.967679,90.0,top
C9,172.163313,-193.356109,180.0,top
J5,167.589126,-216.546139,0.0,top
R1,156.240039,-198.198732,90.0,top
R10,241.443531,-190.996827,270.0,top
R11,208.490852,-168.958531,90.0,top
R12,205.950852,-168.958531,90.0,top
R13,195.544076,-179.140858,180.0,top
R14,195.544076,-177.024534,180.0,top
R15,195.544076,-181.235622,180.0,top
R16,195.544076,-183.423255,180.0,top
R17,241.443531,-171.911827,270.0,top
R18,195.544076,-196.487679,0.0,top
R19,195.544076,-199.055,0.0,top
R2,176.198968,-198.198732,90.0,top
R20,241.443531,-184.611827,270.0,top
R21,188.768058,-116.976608,270.0,top
R22,195.544076,-201.525414,180.0,top
R23,195.495987,-203.764013,0.0,top
R24,195.495987,-205.783262,0.0,top
R25,243.406531,-202.463066,90.0,top
R26,241.443531,-178.226827,270.0,top
R27,162.616704,-179.342679,180.0,top
R28,162.616704,-181.815358,180.0,top
R29,162.616704,-183.945358,180.0,top
R3,158.773968,-198.198732,90.0,top
R30,162.616704,-186.075358,180.0,top
R31,162.616704,-190.745357,180.0,top
R32,162.616704,-188.430358,180.0,top
R33,205.893631,-65.160599,270.0,top
R34,208.023631,-65.160599,90.0,top
R35,210.483631,-65.160599,90.0,top
R36,209.253631,-67.897426,180.0,top
R37,212.653631,-65.160599,270.0,top
R38,205.893631,-70.688895,270.0,top
R39,208.023631,-70.688895,270.0,top
R4,171.198968,-198.198731,90.0,top
R40,210.483631,-70.653895,270.0,top
R41,212.613631,-70.653895,270.0,top
R42,214.783631,-65.160599,270.0,top
R43,216.913631,-65.160599,90.0,top
R44,219.373631,-65.160599,90.0,top
R45,218.032451,-67.891325,180.0,top
R46,221.503631,-65.160599,270.0,top
R47,214.783631,-70.653895,270.0,top
R48,216.913631,-70.653895,270.0,top
R49,219.373631,-70.653895,270.0,top
R5,173.698968,-198.198732,90.0,top
R50,221.503631,-70.653895,270.0,top
R51,223.673631,-65.160599,270.0,top
R52,225.803631,-65.160599,90.0,top
R53,228.263631,-65.160599,90.0,top
R54,226.976699,-67.891325,180.0,top
R55,230.393631,-65.160599,270.0,top
R56,223.673631,-70.653895,270.0,top
R57,225.803631,-70.653895,270.0,top
R58,228.263631,-70.653895,270.0,top
R59,230.393631,-70.653895,270.0,top
R6,163.698968,-198.203732,90.0,top
R60,93.520039,-106.71715,0.0,top
R61,206.520023,-213.53189,180.0,top
R62,212.508221,-213.544466,180.0,top
R63,218.86225,-212.782177,270.0,top
R64,111.149744,-106.715358,0.0,top
R7,192.939589,-222.986068,270.0,top
R8,129.013552,-222.989617,270.0,top
R9,243.191704,-205.250358,180.0,top
X1,237.518459,-195.475358,180.0,top
X2,237.518459,-201.190358,90.0,top
X3,221.955852,-116.463392,90.0,top
